child_id;parent_id;y_label
ОПРОВЕРГНУТЬ;ДОКАЗАТЬ, ПРЕДСТАВИТЬ ДОКАЗАТЕЛЬСТВО;1
ИЗОБЛИЧИТЬ (ДОКАЗАТЬ ВИНОВНОСТЬ);ДОКАЗАТЬ, ПРЕДСТАВИТЬ ДОКАЗАТЕЛЬСТВО;1
ОПРАВДАТЬСЯ (ДОКАЗАТЬ ПРАВОТУ, НЕВИНОВНОСТЬ);ДОКАЗАТЬ, ПРЕДСТАВИТЬ ДОКАЗАТЕЛЬСТВО;1
ВЫРУБКА ДЕРЕВЬЕВ;СВЕСТИ (ОЧИСТИТЬ);1
ПАРЛАМЕНТСКИЕ ЧТЕНИЯ;ПАРЛАМЕНТСКИЕ СЛУШАНИЯ;1
ЗАТУХНУТЬ (ПОСТЕПЕННО ГАСНУТЬ);ГАСНУТЬ (ПЕРЕСТАВАТЬ ГОРЕТЬ);1
МЕЛКООПТОВАЯ ТОРГОВЛЯ;ОПТОВАЯ ТОРГОВЛЯ;1
КРУПНООПТОВАЯ ТОРГОВЛЯ;ОПТОВАЯ ТОРГОВЛЯ;1
ЧЕЧЕНЦЫ;ВАЙНАХИ;1
ИНГУШИ;ВАЙНАХИ;1
ГИДРОТЕХНИЧЕСКОЕ СТРОИТЕЛЬСТВО;ПРОМЫШЛЕННОЕ СТРОИТЕЛЬСТВО;1
СЕРЬГА;ЮВЕЛИРНОЕ ИЗДЕЛИЕ;1
КОЛЬЕ;ЮВЕЛИРНОЕ ИЗДЕЛИЕ;1
КОЛЬЦО (УКРАШЕНИЕ);ЮВЕЛИРНОЕ ИЗДЕЛИЕ;1
ОЖЕРЕЛЬЕ (УКРАШЕНИЕ);ЮВЕЛИРНОЕ ИЗДЕЛИЕ;1
КУЛОН (УКРАШЕНИЕ);ЮВЕЛИРНОЕ ИЗДЕЛИЕ;1
БРАСЛЕТ (УКРАШЕНИЕ);ЮВЕЛИРНОЕ ИЗДЕЛИЕ;1
ЗАПОНКА;ЮВЕЛИРНОЕ ИЗДЕЛИЕ;1
БРОШЬ;ЮВЕЛИРНОЕ ИЗДЕЛИЕ;1
МЕДАЛЬОН;ЮВЕЛИРНОЕ ИЗДЕЛИЕ;1
КОРОНА МОНАРХА;ЮВЕЛИРНОЕ ИЗДЕЛИЕ;1
ДРАГОЦЕННОСТЬ;ЮВЕЛИРНОЕ ИЗДЕЛИЕ;1
ЮВЕЛИРНАЯ ФИЛИГРАНЬ;ЮВЕЛИРНОЕ ИЗДЕЛИЕ;1
ЮВЕЛИРНЫЕ ПОДВЕСКИ;ЮВЕЛИРНОЕ ИЗДЕЛИЕ;1
КОРОНА (УКРАШЕНИЕ);ЮВЕЛИРНОЕ ИЗДЕЛИЕ;1
ОТБЕЛИТЬ (ОСВЕТЛИТЬ);ОСВЕТЛИТЬ (СДЕЛАТЬ СВЕТЛЫМ);1
РАСТЯНУТЬ ПО ВРЕМЕНИ;ЗАТЯНУТЬ ПО ВРЕМЕНИ;1
КОПАТЬСЯ, КАНИТЕЛИТЬСЯ;ЗАТЯНУТЬ ПО ВРЕМЕНИ;1
ВДАТЬСЯ В РАССУЖДЕНИЯ;ЗАТЯНУТЬ ПО ВРЕМЕНИ;1
ПОЛЕГАНИЕ РАСТЕНИЙ;НАКЛОНИТЬСЯ, СКЛОНИТЬСЯ;1
КЛАНЯТЬСЯ, ДЕЛАТЬ ПОКЛОН;НАКЛОНИТЬСЯ, СКЛОНИТЬСЯ;1
ВИРАЖ (ПОВОРОТ С КРЕНОМ);НАКЛОНИТЬСЯ, СКЛОНИТЬСЯ;1
ПРОСЕКА;ВЫРУБКА, МЕСТО ВЫРУБКИ;1
ЛЕСОСЕКА;ВЫРУБКА, МЕСТО ВЫРУБКИ;1
ПРЫСКАТЬ (БРЫЗГАТЬ);БРЫЗГАТЬ, РАЗБРАСЫВАТЬ БРЫЗГИ;1
РАЗБРЫЗГАТЬ, РАСПРЫСКАТЬ;БРЫЗГАТЬ, РАЗБРАСЫВАТЬ БРЫЗГИ;1
КРОВОТЕЧЕНИЕ;ВЫЛИТЬСЯ, ВЫТЕЧЬ;1
ПРОЛИТЬСЯ;ВЫЛИТЬСЯ, ВЫТЕЧЬ;1
УТЕЧКА ЖИДКОСТИ, ГАЗА;ВЫЛИТЬСЯ, ВЫТЕЧЬ;1
ФОНТАНИРОВАНИЕ;ВЫЛИТЬСЯ, ВЫТЕЧЬ;1
ПЕРЕЛИТЬСЯ ЧЕРЕЗ КРАЙ;ВЫЛИТЬСЯ, ВЫТЕЧЬ;1
ПОЧЕТНОЕ ЗВАНИЕ;ЗВАНИЕ;1
ВОИНСКОЕ ЗВАНИЕ;ЗВАНИЕ;1
УЧЕНАЯ СТЕПЕНЬ;ЗВАНИЕ;1
УЧЕНОЕ ЗВАНИЕ;ЗВАНИЕ;1
КЛАССНЫЙ ЧИН;ЗВАНИЕ;1
СПОРТИВНОЕ ЗВАНИЕ;ЗВАНИЕ;1
ДУХОВНЫЙ САН;ЗВАНИЕ;1
ДВОРЯНСКИЙ ТИТУЛ;ЗВАНИЕ;1
ЧЕМПИОНСТВО;ЗВАНИЕ;1
ТИТУЛ ПОБЕДИТЕЛЯ;ЗВАНИЕ;1
СОПРОВОЖДАТЬ (ДОПОЛНИТЬ);ПРИЛОЖИТЬ (ДОБАВИТЬ);1
НЕСОВЕРШЕННАЯ КОНКУРЕНЦИЯ;КОНКУРЕНЦИЯ;1
НЕЦЕНОВАЯ КОНКУРЕНЦИЯ;КОНКУРЕНЦИЯ;1
ГЕНЕРАТОР;ЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ;1
АТОМНОЕ ОБОРУДОВАНИЕ;ЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ;1
ЭНЕРГОСИЛОВАЯ УСТАНОВКА;ЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ;1
СОЛНЕЧНАЯ ЭНЕРГЕТИЧЕСКАЯ УСТАНОВКА;ЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ;1
ТЕПЛОЭНЕРГЕТИЧЕСКАЯ УСТАНОВКА;ЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ;1
ЧАД, УДУШЛИВЫЙ ДЫМ;ДЫМ;1
РАСПРОСТРАНЕНИЕ ЯДЕРНОГО ОРУЖИЯ;РАСПРОСТРАНИТЬ (СДЕЛАТЬ ДОСТУПНЫМ, ИЗВЕСТНЫМ);1
РАСПРОСТРАНЕНИЕ ИНФОРМАЦИИ;РАСПРОСТРАНИТЬ (СДЕЛАТЬ ДОСТУПНЫМ, ИЗВЕСТНЫМ);1
РАЗНЕСТИ (РАСПРОСТРАНИТЬ);РАСПРОСТРАНИТЬ (СДЕЛАТЬ ДОСТУПНЫМ, ИЗВЕСТНЫМ);1
НАСИЛЬСТВЕННОЕ НАСАЖДЕНИЕ;РАСПРОСТРАНИТЬ (СДЕЛАТЬ ДОСТУПНЫМ, ИЗВЕСТНЫМ);1
ЗАМКНУТЫЙ, НЕОБЩИТЕЛЬНЫЙ;ТРУДНЫЙ ПО ХАРАКТЕРУ;1
РАЗМЕРЕННЫЙ (РИТМИЧНЫЙ, НЕТОРОПЛИВЫЙ);НЕТОРОПЛИВЫЙ, НЕСПЕШНЫЙ;1
МЕДИЦИНСКИЙ ДИАГНОЗ;МЕДИЦИНСКОЕ ЗАКЛЮЧЕНИЕ;1
ПРОСЛАВЛЕННЫЙ;ЗНАМЕНИТЫЙ;1
ЛЕГЕНДАРНЫЙ (ШИРОКОИЗВЕСТНЫЙ);ЗНАМЕНИТЫЙ;1
ТЕЛЕРАДИОКОМПАНИЯ;КОМПАНИЯ;1
ИНОСТРАННАЯ КОМПАНИЯ;КОМПАНИЯ;1
КОМПАНИЯ-МОНОПОЛИСТ;КОМПАНИЯ;1
ТЕЛЕКОММУНИКАЦИОННАЯ КОМПАНИЯ;КОМПАНИЯ;1
АВИАСТРОИТЕЛЬНАЯ КОМПАНИЯ;КОМПАНИЯ;1
ПИВОВАРЕННАЯ КОМПАНИЯ;КОМПАНИЯ;1
СТАРТАП-КОМПАНИЯ;КОМПАНИЯ;1
ФИКТИВНАЯ ФИРМА;КОМПАНИЯ;1
АФФИЛИРОВАННАЯ КОМПАНИЯ;КОМПАНИЯ;1
АВТОМОБИЛЬНАЯ КОМПАНИЯ;КОМПАНИЯ;1
ОПЕРАТОР УСЛУГ;КОМПАНИЯ;1
НЕРВИРОВАТЬ;ВОЗБУДИТЬ (ПРИВЕСТИ В ВОЗБУЖДЕННОЕ СОСТОЯНИЕ);1
ВООДУШЕВИТЬ;ВОЗБУДИТЬ (ПРИВЕСТИ В ВОЗБУЖДЕННОЕ СОСТОЯНИЕ);1
АВТОРУЧКА;РУЧКА ДЛЯ ПИСЬМА;1
ПРОЛОМАТЬ ОТВЕРСТИЕ;ПРОБИВАНИЕ ОТВЕРСТИЯ;1
ПРОРУБИТЬ ОТВЕРСТИЕ;ПРОБИВАНИЕ ОТВЕРСТИЯ;1
ПЕРФОРИРОВАТЬ;ПРОБИВАНИЕ ОТВЕРСТИЯ;1
ПРОСТРЕЛИТЬ ОТВЕРСТИЕ;ПРОБИВАНИЕ ОТВЕРСТИЯ;1
ТАРАНИТЬ (НАНОСИТЬ УДАР);ПРОБИВАНИЕ ОТВЕРСТИЯ;1
МОСКВА;ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ;1
САНКТ-ПЕТЕРБУРГ;ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ;1
СЕВАСТОПОЛЬ;ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ;1
ПИРУЭТ;КРУЖИТЬСЯ, СОВЕРШАТЬ КРУГОВЫЕ ДВИЖЕНИЯ;1
ЗАВИСАНИЕ В ВОЗДУХЕ;КРУЖИТЬСЯ, СОВЕРШАТЬ КРУГОВЫЕ ДВИЖЕНИЯ;1
ЗАВИХРИТЬСЯ;КРУЖИТЬСЯ, СОВЕРШАТЬ КРУГОВЫЕ ДВИЖЕНИЯ;1
ЭКОЛОГИЧЕСКОЕ ПРЕСТУПЛЕНИЕ;ЭКОЛОГИЧЕСКОЕ ПРАВОНАРУШЕНИЕ;1
ВНЕШНЯЯ ТОРГОВЛЯ;ВНЕШНЕЭКОНОМИЧЕСКИЕ ОТНОШЕНИЯ;1
ЭКОНОМИЧЕСКИЕ САНКЦИИ;ВНЕШНЕЭКОНОМИЧЕСКИЕ ОТНОШЕНИЯ;1
МЕЖДУНАРОДНОЕ ЭКОНОМИЧЕСКОЕ СОТРУДНИЧЕСТВО;ВНЕШНЕЭКОНОМИЧЕСКИЕ ОТНОШЕНИЯ;1
КОММУНАЛЬНОЕ СТРОИТЕЛЬСТВО;ПРОМЫШЛЕННО-ТРАНСПОРТНОЕ СТРОИТЕЛЬСТВО;1
ПРОМЫШЛЕННОЕ СТРОИТЕЛЬСТВО;ПРОМЫШЛЕННО-ТРАНСПОРТНОЕ СТРОИТЕЛЬСТВО;1
ТРАНСПОРТНОЕ СТРОИТЕЛЬСТВО;ПРОМЫШЛЕННО-ТРАНСПОРТНОЕ СТРОИТЕЛЬСТВО;1
ДИАПОЗИТИВ;ПОЗИТИВ (ФОТОГРАФИЧЕСКОЕ ИЗОБРАЖЕНИЕ);1
ЗАЧЕТ ПО УЧЕБНОМУ ПРЕДМЕТУ;СТАВИТЬ ОЦЕНКУ;1
АТТЕСТАЦИЯ УЧАЩЕГОСЯ;СТАВИТЬ ОЦЕНКУ;1
ШАШЕЧКА (УЗОР);КЛЕТКА (УЗОР);1
ПРИСЯЖНЫЙ ЗАСЕДАТЕЛЬ;ЗАСЕДАТЕЛЬ;1
ДОРОГОЙ ПО ЦЕНЕ;ЧРЕЗМЕРНЫЙ;1
РОСЛЫЙ, ВЫСОКОГО РОСТА;ЧРЕЗМЕРНЫЙ;1
КАЧЕСТВЕННЫЙ, ВЫСОКОГО КАЧЕСТВА;ЧРЕЗМЕРНЫЙ;1
ЗАВЫШЕННЫЙ;ЧРЕЗМЕРНЫЙ;1
СВЕРХПЛАНОВЫЙ;ЧРЕЗМЕРНЫЙ;1
БОЛЕЗНЕННЫЙ (ЧРЕЗМЕРНЫЙ);ЧРЕЗМЕРНЫЙ;1
РАСТЯНУТЫЙ (ЧРЕЗМЕРНО ДЛИННЫЙ);ЧРЕЗМЕРНЫЙ;1
ЗАХВАТИТЬ, ЗАВЛАДЕТЬ;ОТНЯТЬ, ЛИШИТЬ;1
ОБЕЗОРУЖИТЬ, ОТНЯТЬ ОРУЖИЕ;ОТНЯТЬ, ЛИШИТЬ;1
РАЗВЕНЧАТЬ (ЛИШИТЬ УВАЖЕНИЯ,  ПРИЗНАНИЯ);ОТНЯТЬ, ЛИШИТЬ;1
ОБЕЗВОДИТЬ (ЛИШИТЬ ЖИДКОСТИ);ОТНЯТЬ, ЛИШИТЬ;1
ЛИШИТЬ РУКОВОДСТВА;ОТНЯТЬ, ЛИШИТЬ;1
ЛИШЕНИЕ ПРАВА;ОТНЯТЬ, ЛИШИТЬ;1
ЛИШЕНИЕ ИМУЩЕСТВА;ОТНЯТЬ, ЛИШИТЬ;1
ДИПЛОМАТИЧЕСКОЕ ПРЕДСТАВИТЕЛЬСТВО;ЗАРУБЕЖНОЕ ПРЕДСТАВИТЕЛЬСТВО;1
ТОРГОВОЕ ПРЕДСТАВИТЕЛЬСТВО;ЗАРУБЕЖНОЕ ПРЕДСТАВИТЕЛЬСТВО;1
РЕСУРСОСБЕРЕЖЕНИЕ;ЭКОНОМИЯ, ЭКОНОМНОЕ РАСХОДОВАНИЕ;1
ЭКОНОМИЯ СРЕДСТВ;ЭКОНОМИЯ, ЭКОНОМНОЕ РАСХОДОВАНИЕ;1
ОВОД;МУХА;1
ЦЕЦЕ;МУХА;1
СПАСИТЕЛЬ, СПАСИТЕЛЬНИЦА;ИЗБАВИТЕЛЬ;1
ГУСЕНИЧНАЯ ЛЕНТА;ПОЛОТНО (УСТРОЙСТВО);1
ОТЕЧНЫЙ, ОТЕКШИЙ;ОПУХЛЫЙ;1
ВОСПАЛЕННЫЙ, ВОСПАЛИВШИЙСЯ;ОПУХЛЫЙ;1
ЖАТВА, УБОРКА ЗЕРНОВЫХ;УБОРОЧНЫЕ РАБОТЫ;1
ЖАТЬ ЗЕРНОВЫЕ;УБОРОЧНЫЕ РАБОТЫ;1
КОММЕРЧЕСКИЙ ПОДКУП;ПРЕСТУПЛЕНИЕ ПРОТИВ ИНТЕРЕСОВ СЛУЖБЫ;1
НЫРЯНИЕ В ВОДУ;ПОГРУЗИТЬСЯ В ЖИДКОСТЬ;1
ТОНУТЬ, ИДТИ КО ДНУ;ПОГРУЗИТЬСЯ В ЖИДКОСТЬ;1
КУПАТЬСЯ;ПОГРУЗИТЬСЯ В ЖИДКОСТЬ;1
ПЛАВАНИЕ С АКВАЛАНГОМ;ПОГРУЗИТЬСЯ В ЖИДКОСТЬ;1
ТОНУТЬ В ВЯЗКОМ;ПОГРУЗИТЬСЯ В ЖИДКОСТЬ;1
ЭСТАКАДА;ПУТЕПРОВОД;1
ВИАДУК;ПУТЕПРОВОД;1
ЦВЕТАСТЫЙ;ЯРКИЙ ПО ЦВЕТУ;1
