child_id,parent_id
ОДЕЖДА,ТУЛУП
ПОЛИТИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ,ПАРЛАМЕНТСКИЕ СЛУШАНИЯ
ГОСУДАРСТВЕННАЯ УПРАВЛЕНЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ,ПАРЛАМЕНТСКИЕ СЛУШАНИЯ
ЭКОНОМИКА,ОПТОВАЯ ТОРГОВЛЯ
ТОРГОВЛЯ,ОПТОВАЯ ТОРГОВЛЯ
АНТРОПОЛОГИЯ,ВАЙНАХИ
ПРОМЫШЛЕННОСТЬ,ПРОМЫШЛЕННОЕ СТРОИТЕЛЬСТВО
СТРОИТЕЛЬСТВО (ОТРАСЛЬ),ПРОМЫШЛЕННОЕ СТРОИТЕЛЬСТВО
ЮВЕЛИРНОЕ ИСКУССТВО,ЮВЕЛИРНОЕ ИЗДЕЛИЕ
ЖИВОПИСЬ (ИСКУССТВО),МАСЛЯНАЯ КРАСКА
ВЕТЕРИНАРНАЯ ДЕЯТЕЛЬНОСТЬ,ЯЩУР
ЗООЛОГИЯ,ЯЩУР
ФИЗИОЛОГИЧЕСКАЯ НАУКА,ЯЩУР
"ВРЕМЯ, ПРОДОЛЖИТЕЛЬНОСТЬ",ЗАТЯНУТЬ ПО ВРЕМЕНИ
ОБОРОНА ГОСУДАРСТВА,ГВАРДИЯ
ВОЕННАЯ СЛУЖБА,ГВАРДИЯ
ТРАНСПОРТНАЯ СФЕРА,ШАХТНАЯ КЛЕТЬ
СРЕДСТВА МАССОВОЙ ИНФОРМАЦИИ,СОБСТВЕННЫЙ КОРРЕСПОНДЕНТ
ЛЕСНОЕ ХОЗЯЙСТВО,"ВЫРУБКА, МЕСТО ВЫРУБКИ"
ФИЛОЛОГИЯ,ТОЛКОВЫЙ СЛОВАРЬ
ЛИТЕРАТУРА,ТОЛКОВЫЙ СЛОВАРЬ
ПРОМЫШЛЕННОСТЬ,ДЕРЕВНЯ
СЕЛЬСКОЕ ХОЗЯЙСТВО,ДЕРЕВНЯ
ИГРА (РАЗВЛЕЧЕНИЕ),ДЕТСКИЙ КОНСТРУКТОР
БИОЛОГИЯ,ЖАВОРОНОК
ЗООЛОГИЯ,ЖАВОРОНОК
ЭКОНОМИКА,КОНКУРЕНЦИЯ
ПРЕДПРИНИМАТЕЛЬСТВО,КОНКУРЕНЦИЯ
ПРОМЫШЛЕННОСТЬ,ЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ
ЭНЕРГЕТИКА (СФЕРА ДЕЯТЕЛЬНОСТИ),ЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ
БИОЛОГИЯ,ВАЛЕРИАНА
БОТАНИКА,ВАЛЕРИАНА
ПРОМЫШЛЕННОСТЬ,ДОМЕННЫЙ ЦЕХ
УЖИВЧИВЫЙ,ТРУДНЫЙ ПО ХАРАКТЕРУ
ПСИХОЛОГИЧЕСКИЕ НАУКИ,ТРУДНЫЙ ПО ХАРАКТЕРУ
ЧЕРТА ХАРАКТЕРА,ТРУДНЫЙ ПО ХАРАКТЕРУ
ПРАВОВАЯ СИСТЕМА,ОТПУСКНИК
ТРУДОВЫЕ ОТНОШЕНИЯ,ОТПУСКНИК
КУЛИНАРНОЕ ИСКУССТВО,ПЕЧЕНЬ (ОРГАН)
ЗООЛОГИЯ,ПЕЧЕНЬ (ОРГАН)
ФИЗИОЛОГИЧЕСКАЯ НАУКА,ПЕЧЕНЬ (ОРГАН)
АНАТОМИЯ (НАУКА),ПЕЧЕНЬ (ОРГАН)
ПОСПЕШНЫЙ,"НЕТОРОПЛИВЫЙ, НЕСПЕШНЫЙ"
МЕДИЦИНА,МЕДИЦИНСКОЕ ЗАКЛЮЧЕНИЕ
"ЧУВСТВО, ЭМОЦИЯ",САМОБИЧЕВАНИЕ
НАУКА,ОРДИНАТОР
МЕДИЦИНА,ОРДИНАТОР
ПРОМЫШЛЕННОСТЬ,КОМПАНИЯ
ЭКОНОМИКА,КОМПАНИЯ
ОТДЫХ,КАРУСЕЛЬ (АТТРАКЦИОН)
АВТОМОБИЛЬНЫЙ ТРАНСПОРТ,БОРДЮР ДОРОГИ
ДОРОЖНОЕ ДВИЖЕНИЕ,БОРДЮР ДОРОГИ
АВТОМОБИЛЬНЫЙ ТРАНСПОРТ,АВТОМОБИЛЬ МАЗДА
КУЛИНАРНОЕ ИСКУССТВО,ЛОЖКА
МОДА,ВОРОТ ОДЕЖДЫ
ОДЕЖДА,ВОРОТ ОДЕЖДЫ
ДЕЛОПРОИЗВОДСТВО,РУЧКА ДЛЯ ПИСЬМА
ИЗДАТЕЛЬСКО-ПОЛИГРАФИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ,ПЕЧАТНЫЙ МАКЕТ
ПРАВОВАЯ СИСТЕМА,НЕЗАКОННОЕ КОПИРОВАНИЕ
ПРЕСТУПЛЕНИЕ,НЕЗАКОННОЕ КОПИРОВАНИЕ
МЕДИЦИНА,ОБЩЕСТВО КРАСНОГО КРЕСТА
МЕДИЦИНА,ЭНДОСКОПИЧЕСКАЯ АППАРАТУРА
ПРОМЫШЛЕННОСТЬ,ЭНДОСКОПИЧЕСКАЯ АППАРАТУРА
ЭКОНОМИКА,ЭНДОСКОПИЧЕСКАЯ АППАРАТУРА
ПРАВОВАЯ СИСТЕМА,ЭКОЛОГИЧЕСКОЕ ПРАВОНАРУШЕНИЕ
ЭКОНОМИКА,ВНЕШНЕЭКОНОМИЧЕСКИЕ ОТНОШЕНИЯ
ДИПЛОМАТИЧЕСКИЕ ОТНОШЕНИЯ,ВНЕШНЕЭКОНОМИЧЕСКИЕ ОТНОШЕНИЯ
БИОЛОГИЯ,ПШЕНИЦА
БОТАНИКА,ПШЕНИЦА
ЭКОНОМИКА,ИГРОВАЯ СТАВКА
ФИЛОЛОГИЯ,ИГРОВАЯ СТАВКА
ДЕНЕЖНАЯ НАЛИЧНОСТЬ,ИГРОВАЯ СТАВКА
АЗАРТНЫЕ ИГРЫ,ИГРОВАЯ СТАВКА
ФИНАНСОВАЯ СФЕРА,ИГРОВАЯ СТАВКА
ОБОРОНА ГОСУДАРСТВА,МОРСКАЯ ПЕХОТА
ВОЕННАЯ СЛУЖБА,МОРСКАЯ ПЕХОТА
"ЧУВСТВО, ЭМОЦИЯ",БЛАГОГОВЕТЬ
ЭКОНОМИКА,ТЕПЛОВАЯ ПУШКА
КОММУНАЛЬНОЕ ХОЗЯЙСТВО,ТЕПЛОВАЯ ПУШКА
ЭКОНОМИКА,"ПРОИГРЫШ, ПРОИГРАННАЯ СУММА"
ФИЛОЛОГИЯ,"ПРОИГРЫШ, ПРОИГРАННАЯ СУММА"
ДЕНЕЖНАЯ НАЛИЧНОСТЬ,"ПРОИГРЫШ, ПРОИГРАННАЯ СУММА"
ФИНАНСОВАЯ СФЕРА,"ПРОИГРЫШ, ПРОИГРАННАЯ СУММА"
ЭНЕРГЕТИКА (СФЕРА ДЕЯТЕЛЬНОСТИ),ЗАПРУДА
АНТРОПОЛОГИЯ,КУМЫКИ
ПРАВОВАЯ СИСТЕМА,СТОРОНА ЗАЩИТЫ
СУДОУСТРОЙСТВО,СТОРОНА ЗАЩИТЫ
ПРОМЫШЛЕННОСТЬ,ПРОМЫШЛЕННО-ТРАНСПОРТНОЕ СТРОИТЕЛЬСТВО
ЭКОНОМИКА,ПРОМЫШЛЕННО-ТРАНСПОРТНОЕ СТРОИТЕЛЬСТВО
СТРОИТЕЛЬСТВО (ОТРАСЛЬ),ПРОМЫШЛЕННО-ТРАНСПОРТНОЕ СТРОИТЕЛЬСТВО
ПРЕСТУПЛЕНИЕ,ГУЛАГ
ПРАВООХРАНИТЕЛЬНАЯ ДЕЯТЕЛЬНОСТЬ,ГУЛАГ
УГОЛОВНОЕ НАКАЗАНИЕ,ГУЛАГ
АСТРОНОМИЯ,ПЛАНЕТА НЕПТУН
ОКЕАНОЛОГИЯ,МОРЯК-БАЛТИЕЦ
ФОТОИСКУССТВО,ПОЗИТИВ (ФОТОГРАФИЧЕСКОЕ ИЗОБРАЖЕНИЕ)
ВЫБОРЫ,САМОВЫДВИЖЕНЕЦ
ПРАВОВАЯ СИСТЕМА,МЯГКАЯ ПОРНОГРАФИЯ
ЭКОНОМИКА,МЯГКАЯ ПОРНОГРАФИЯ
ПОЛОВАЯ ЖИЗНЬ,МЯГКАЯ ПОРНОГРАФИЯ
ПРЕСТУПЛЕНИЕ,МЯГКАЯ ПОРНОГРАФИЯ
ИЗОБРАЗИТЕЛЬНОЕ ИСКУССТВО,КЛЕТКА (УЗОР)
ПРАВОВАЯ СИСТЕМА,ЗАСЕДАТЕЛЬ
ГОСУДАРСТВЕННАЯ УПРАВЛЕНЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ,ЗАСЕДАТЕЛЬ
ВЫБОРЫ,ЗАСЕДАТЕЛЬ
СУДОУСТРОЙСТВО,ЗАСЕДАТЕЛЬ
ФИЛОЛОГИЯ,ДУБЛИКАТ ДОКУМЕНТА
ДЕЛОПРОИЗВОДСТВО,ДУБЛИКАТ ДОКУМЕНТА
СПОРТ,ХОККЕИСТ
ХОККЕЙ НА ЛЬДУ,ХОККЕИСТ
СПОРТИВНАЯ ИГРА,ХОККЕИСТ
МЕДИЦИНА,ДРАЖЕ (ЛЕКАРСТВЕННАЯ ФОРМА)
ФАРМАКОЛОГИЯ,ДРАЖЕ (ЛЕКАРСТВЕННАЯ ФОРМА)
ПСИХОЛОГИЧЕСКИЕ НАУКИ,"РАСПУЩЕННЫЙ (НЕДИСЦИПЛИНИРОВАННЫЙ, СВОЕВОЛЬНЫЙ)"
ЧЕРТА ХАРАКТЕРА,"РАСПУЩЕННЫЙ (НЕДИСЦИПЛИНИРОВАННЫЙ, СВОЕВОЛЬНЫЙ)"
"ВРЕМЯ, ПРОДОЛЖИТЕЛЬНОСТЬ",ЗАПУЩЕННЫЙ (ЗАСТАРЕЛЫЙ)
БИОЛОГИЯ,ХНА (КУСТАРНИКОВОЕ РАСТЕНИЕ)
БОТАНИКА,ХНА (КУСТАРНИКОВОЕ РАСТЕНИЕ)
АНТРОПОЛОГИЯ,ЧУКЧИ
"ЦВЕТ, ОКРАСКА",ПОТЕК (СЛЕД)
ДИПЛОМАТИЧЕСКИЕ ОТНОШЕНИЯ,ЗАРУБЕЖНОЕ ПРЕДСТАВИТЕЛЬСТВО
БИОЛОГИЯ,СТАНЦИЯ ЮНЫХ НАТУРАЛИСТОВ
СФЕРА ОБРАЗОВАНИЯ,СТАНЦИЯ ЮНЫХ НАТУРАЛИСТОВ
МЕДИЦИНА,ГЕЛЬМИНТОЗ
ФИЗИОЛОГИЧЕСКАЯ НАУКА,ГЕЛЬМИНТОЗ
МЕДИЦИНА,ЭЛЕКТРОКАРДИОГРАФИЧЕСКОЕ ИССЛЕДОВАНИЕ
КАРДИОЛОГИЯ,ЭЛЕКТРОКАРДИОГРАФИЧЕСКОЕ ИССЛЕДОВАНИЕ
БИОЛОГИЯ,МУХА
ЗООЛОГИЯ,МУХА
ОДЕЖДА,БЕРЕТ (ГОЛОВНОЙ УБОР)
МОДА,БЕРЕТ (ГОЛОВНОЙ УБОР)
ЭЛЕКТРОТЕХНИКА (СФЕРА ДЕЯТЕЛЬНОСТИ),СЕТЕВОЙ ФИЛЬТР (УДЛИНИТЕЛЬ)
ЭНЕРГЕТИКА (СФЕРА ДЕЯТЕЛЬНОСТИ),СЕТЕВОЙ ФИЛЬТР (УДЛИНИТЕЛЬ)
ЭЛЕКТРИЧЕСТВО (ФИЗИЧЕСКОЕ ЯВЛЕНИЕ),СЕТЕВОЙ ФИЛЬТР (УДЛИНИТЕЛЬ)
ПРОМЫШЛЕННОСТЬ,ЭНЕРГЕТИЧЕСКИЙ НАПИТОК
ЭКОНОМИКА,ЭНЕРГЕТИЧЕСКИЙ НАПИТОК
АНТРОПОЛОГИЯ,УРАЛЬСКО-ЮКАГИРСКИЕ НАРОДЫ
СЕЛЬСКОЕ ХОЗЯЙСТВО,УБОРОЧНЫЕ РАБОТЫ
БОТАНИКА,УБОРОЧНЫЕ РАБОТЫ
РАСТЕНИЕВОДСТВО,УБОРОЧНЫЕ РАБОТЫ
ПРАВОВАЯ СИСТЕМА,ПРЕСТУПЛЕНИЕ ПРОТИВ ИНТЕРЕСОВ СЛУЖБЫ
ПРЕСТУПЛЕНИЕ,ПРЕСТУПЛЕНИЕ ПРОТИВ ИНТЕРЕСОВ СЛУЖБЫ
АВТОМОБИЛЬНЫЙ ТРАНСПОРТ,ПУТЕПРОВОД
ДОРОЖНОЕ ДВИЖЕНИЕ,ПУТЕПРОВОД
КУЛИНАРНОЕ ИСКУССТВО,ЗАПРАВИТЬ ПИЩУ
БЛЕДНЫЙ ПО ОКРАСКЕ,ЯРКИЙ ПО ЦВЕТУ
"ЦВЕТ, ОКРАСКА",ЯРКИЙ ПО ЦВЕТУ
СПОРТ,СПОРТИВНАЯ БОРЬБА
СПОРТИВНАЯ БОРЬБА,СПОРТИВНАЯ БОРЬБА
ЭКОНОМИКА,ЛЬГОТНОЕ НАЛОГООБЛОЖЕНИЕ
НАЛОГОВАЯ СИСТЕМА,ЛЬГОТНОЕ НАЛОГООБЛОЖЕНИЕ
ФИНАНСОВАЯ СФЕРА,ЛЬГОТНОЕ НАЛОГООБЛОЖЕНИЕ
"ЧУВСТВО, ЭМОЦИЯ",УЖАСНУТЬСЯ (ИСПУГАТЬСЯ)
ОКЕАНОЛОГИЯ,АЛЕУТСКИЕ ОСТРОВА
ПОЛИТИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ,ПРОТЕКТОРАТ (ФОРМА ЗАВИСИМОСТИ ГОСУДАРСТВА)
ГОСУДАРСТВЕННАЯ УПРАВЛЕНЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ,ПРОТЕКТОРАТ (ФОРМА ЗАВИСИМОСТИ ГОСУДАРСТВА)
КОМПЬЮТЕР,ПЛАТЕЖНЫЙ ТЕРМИНАЛ
ИСКУССТВО,ФЕЛЬЕТОН
ФИЛОЛОГИЯ,ФЕЛЬЕТОН
ЛИТЕРАТУРА,ФЕЛЬЕТОН
ИСКУССТВО,СЮРРЕАЛИЗМ
МИСТИЦИЗМ,"ТАЛИСМАН, ОБЕРЕГ"
АНТРОПОЛОГИЯ,ЧАМАЛАЛЫ
ФИЛОЛОГИЯ,"ПЕРЕВОД, ТЕКСТ ПЕРЕВОДА"
ИСКУССТВО,РОЯЛЬ
МУЗЫКАЛЬНОЕ ИСКУССТВО,РОЯЛЬ
ВЫСШЕЕ ОБРАЗОВАНИЕ,БРИТАНСКИЕ УНИВЕРСИТЕТЫ
ПРОМЫШЛЕННОСТЬ,ГОРОДСКАЯ ЭЛЕКТРИЧЕСКАЯ СЕТЬ
ЭКОНОМИКА,ГОРОДСКАЯ ЭЛЕКТРИЧЕСКАЯ СЕТЬ
ЭЛЕКТРОТЕХНИКА (СФЕРА ДЕЯТЕЛЬНОСТИ),ГОРОДСКАЯ ЭЛЕКТРИЧЕСКАЯ СЕТЬ
ЭНЕРГЕТИКА (СФЕРА ДЕЯТЕЛЬНОСТИ),ГОРОДСКАЯ ЭЛЕКТРИЧЕСКАЯ СЕТЬ
ЭЛЕКТРИЧЕСТВО (ФИЗИЧЕСКОЕ ЯВЛЕНИЕ),ГОРОДСКАЯ ЭЛЕКТРИЧЕСКАЯ СЕТЬ
ЭКОНОМИКА,ДЕНАЦИОНАЛИЗАЦИЯ
ГОСУДАРСТВЕННАЯ УПРАВЛЕНЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ,ДЕНАЦИОНАЛИЗАЦИЯ
ПРОМЫШЛЕННОСТЬ,"ПРОЯВИТЬ, ОБРАБОТАТЬ ПРОЯВИТЕЛЕМ"
ХИМИЧЕСКИЕ НАУКИ,"ПРОЯВИТЬ, ОБРАБОТАТЬ ПРОЯВИТЕЛЕМ"
ОБОРОНА ГОСУДАРСТВА,"ЛЕГИОНЕР, СОЛДАТ ЛЕГИОНА"
ВООРУЖЕННЫЙ КОНФЛИКТ,"ЛЕГИОНЕР, СОЛДАТ ЛЕГИОНА"
ВОЕННАЯ СЛУЖБА,"ЛЕГИОНЕР, СОЛДАТ ЛЕГИОНА"
МУЗЫКАЛЬНОЕ ИСКУССТВО,МУЗЫКАЛЬНОСТЬ (СПОСОБНОСТЬ)
ЭКОНОМИКА,ПЛАТА ЗА ПРИРОДНЫЕ РЕСУРСЫ
НАЛОГОВАЯ СИСТЕМА,ПЛАТА ЗА ПРИРОДНЫЕ РЕСУРСЫ
ДЕНЕЖНАЯ НАЛИЧНОСТЬ,ПЛАТА ЗА ПРИРОДНЫЕ РЕСУРСЫ
ФИНАНСОВАЯ СФЕРА,ПЛАТА ЗА ПРИРОДНЫЕ РЕСУРСЫ
СЕЛЬСКОЕ ХОЗЯЙСТВО,САДОВОД (РАСТЕНИЕВОД)
БОТАНИКА,САДОВОД (РАСТЕНИЕВОД)
РАСТЕНИЕВОДСТВО,САДОВОД (РАСТЕНИЕВОД)
ЗООЛОГИЯ,ЛОПАТКА (КОСТЬ)
АНАТОМИЯ (НАУКА),ЛОПАТКА (КОСТЬ)
ПРОМЫШЛЕННОСТЬ,ПРЕДПРИЯТИЕ ЛЕСНОЙ ПРОМЫШЛЕННОСТИ
ЛЕСНОЕ ХОЗЯЙСТВО,ПРЕДПРИЯТИЕ ЛЕСНОЙ ПРОМЫШЛЕННОСТИ
МЕДИЦИНА,КРАСНУХА
ФИЗИОЛОГИЧЕСКАЯ НАУКА,КРАСНУХА
ЭКОНОМИКА,МУСОРЩИК
КОММУНАЛЬНОЕ ХОЗЯЙСТВО,МУСОРЩИК
ПРЕДМЕТ ИНТЕРЬЕРА,СТЕНКА (ШКАФ)
КОММУНАЛЬНОЕ ХОЗЯЙСТВО,ВОДОПОЛЬЗОВАНИЕ
ЭКОНОМИКА,ВОДОПОЛЬЗОВАНИЕ
КУЛИНАРНОЕ ИСКУССТВО,ПРИГОТОВЛЕНИЕ ПИЩИ НА ПАРУ
КОСМОНАВТИКА,ПИЛОТИРУЕМАЯ КОСМОНАВТИКА
ПСИХОЛОГИЧЕСКИЕ НАУКИ,УЛЫБЧИВЫЙ (ЧАСТО УЛЫБАЮЩИЙСЯ)
ЧЕРТА ХАРАКТЕРА,УЛЫБЧИВЫЙ (ЧАСТО УЛЫБАЮЩИЙСЯ)
ЭКОНОМИКА,ИНОСТРАННЫЙ РАБОЧИЙ
ПОЛИТИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ,КНЕССЕТ
ГОСУДАРСТВЕННАЯ УПРАВЛЕНЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ,КНЕССЕТ
ПРАВОВАЯ СИСТЕМА,ГОСУДАРСТВЕННЫЙ ОБВИНИТЕЛЬ
ПОЛИТИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ,ГОСУДАРСТВЕННЫЙ ОБВИНИТЕЛЬ
ГОСУДАРСТВЕННАЯ УПРАВЛЕНЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ,ГОСУДАРСТВЕННЫЙ ОБВИНИТЕЛЬ
ПРЕСТУПЛЕНИЕ,ГОСУДАРСТВЕННЫЙ ОБВИНИТЕЛЬ
