,child_id,parent_id,child_context,parent_context
102,ЖРЕЦ,СЛУЖИТЕЛЬ КУЛЬТА," Он мне сразу: ""Я жрец ― поп"". ― ""А вы, говорю"," Он мне сразу: ""Я служитель культа ― поп"". ― ""А вы, говорю"
103,ШАМАН (СЛУЖИТЕЛЬ КУЛЬТА),СЛУЖИТЕЛЬ КУЛЬТА," Он мне сразу: ""Я шаман (служитель культа) ― поп"". ― ""А вы, говорю"," Он мне сразу: ""Я служитель культа ― поп"". ― ""А вы, говорю"
104,"ВИКАРИЙ, ПОМОЩНИК ЕПИСКОПА",СЛУЖИТЕЛЬ КУЛЬТА," Он мне сразу: ""Я викарий, помощник епископа ― поп"". ― ""А вы, говорю"," Он мне сразу: ""Я служитель культа ― поп"". ― ""А вы, говорю"
105,ЦЕРКОВНЫЙ ИЕРАРХ,СЛУЖИТЕЛЬ КУЛЬТА," Он мне сразу: ""Я церковный иерарх ― поп"". ― ""А вы, говорю"," Он мне сразу: ""Я служитель культа ― поп"". ― ""А вы, говорю"
106,КАПЕЛЛАН,СЛУЖИТЕЛЬ КУЛЬТА," Он мне сразу: ""Я капеллан ― поп"". ― ""А вы, говорю"," Он мне сразу: ""Я служитель культа ― поп"". ― ""А вы, говорю"
107,МОНАХИНЯ,СЛУЖИТЕЛЬ КУЛЬТА," Он мне сразу: ""Я монахиня ― поп"". ― ""А вы, говорю"," Он мне сразу: ""Я служитель культа ― поп"". ― ""А вы, говорю"
108,МАГИСТР ОРДЕНА,СЛУЖИТЕЛЬ КУЛЬТА," Он мне сразу: ""Я магистр ордена ― поп"". ― ""А вы, говорю"," Он мне сразу: ""Я служитель культа ― поп"". ― ""А вы, говорю"
109,ЧУДОДЕЙСТВЕННЫЙ,ЭФФЕКТИВНЫЙ," [ЭХО, nick]   Эффективный менеджмент никогда не шел по"," [ЭХО, nick]   Эффективный менеджмент никогда не шел по"
110,ТЕХНОЛОГИЧНЫЙ,ЭФФЕКТИВНЫЙ," [ЭХО, nick]   Эффективный менеджмент никогда не шел по"," [ЭХО, nick]   Эффективный менеджмент никогда не шел по"
111,ЭЛЕКТРОГИТАРА,ЭЛЕКТРОМУЗЫКАЛЬНЫЙ ИНСТРУМЕНТ,"качестве источника аналогового колебания использовался электрогитара терменвокс, генерирующий квазимонохроматические сигналы","качестве источника аналогового колебания использовался электромузыкальный инструмент терменвокс, генерирующий квазимонохроматические сигналы"
112,СИНТЕЗАТОР,ЭЛЕКТРОМУЗЫКАЛЬНЫЙ ИНСТРУМЕНТ,"качестве источника аналогового колебания использовался синтезатор терменвокс, генерирующий квазимонохроматические сигналы","качестве источника аналогового колебания использовался электромузыкальный инструмент терменвокс, генерирующий квазимонохроматические сигналы"
113,АРКА (СООРУЖЕНИЕ),ВОРОТА (ВХОД),забор на Васильевском острове ― и ворота: вход на склад. ,забор на Васильевском острове ― и ворота: вход на склад. 
118,ПАРЛАМЕНТСКИЕ ЧТЕНИЯ,ПАРЛАМЕНТСКИЕ СЛУШАНИЯ,"середине марта комитет намерен провести парламентские чтения перед вторым чтением, которые","середине марта комитет намерен провести парламентские слушания перед вторым чтением, которые"
120,МЕЛКООПТОВАЯ ТОРГОВЛЯ,ОПТОВАЯ ТОРГОВЛЯ," [vlaad2210, муж]   Оптовая торговля ― это не просто РАБОТА"," [vlaad2210, муж]   Оптовая торговля ― это не просто РАБОТА"
121,КРУПНООПТОВАЯ ТОРГОВЛЯ,ОПТОВАЯ ТОРГОВЛЯ," [vlaad2210, муж]   Оптовая торговля ― это не просто РАБОТА"," [vlaad2210, муж]   Оптовая торговля ― это не просто РАБОТА"
122,ЧЕЧЕНЦЫ,ВАЙНАХИ,"вайнахских башнях, значит, они вайнахские (чеченцы ― предки чеченцев и ингушей). ","вайнахских башнях, значит, они вайнахские (вайнахи ― предки чеченцев и ингушей). "
123,ИНГУШИ,ВАЙНАХИ,"вайнахских башнях, значит, они вайнахские (ингуши ― предки чеченцев и ингушей). ","вайнахских башнях, значит, они вайнахские (вайнахи ― предки чеченцев и ингушей). "
124,ГИДРОТЕХНИЧЕСКОЕ СТРОИТЕЛЬСТВО,ПРОМЫШЛЕННОЕ СТРОИТЕЛЬСТВО,"строительных материалов, вести дорожное и гидротехническое строительство. ","строительных материалов, вести дорожное и промышленное строительство. "
125,СЕРЬГА,ЮВЕЛИРНОЕ ИЗДЕЛИЕ,"И почему многие думают, что серьга можно изготовить на раз","И почему многие думают, что ювелирное изделие можно изготовить на раз"
126,КОЛЬЕ,ЮВЕЛИРНОЕ ИЗДЕЛИЕ,"И почему многие думают, что колье можно изготовить на раз","И почему многие думают, что ювелирное изделие можно изготовить на раз"
127,КОЛЬЦО (УКРАШЕНИЕ),ЮВЕЛИРНОЕ ИЗДЕЛИЕ,"И почему многие думают, что кольцо (украшение) можно изготовить на раз","И почему многие думают, что ювелирное изделие можно изготовить на раз"
128,ОЖЕРЕЛЬЕ (УКРАШЕНИЕ),ЮВЕЛИРНОЕ ИЗДЕЛИЕ,"И почему многие думают, что ожерелье (украшение) можно изготовить на раз","И почему многие думают, что ювелирное изделие можно изготовить на раз"
129,КУЛОН (УКРАШЕНИЕ),ЮВЕЛИРНОЕ ИЗДЕЛИЕ,"И почему многие думают, что кулон (украшение) можно изготовить на раз","И почему многие думают, что ювелирное изделие можно изготовить на раз"
130,БРАСЛЕТ (УКРАШЕНИЕ),ЮВЕЛИРНОЕ ИЗДЕЛИЕ,"И почему многие думают, что браслет (украшение) можно изготовить на раз","И почему многие думают, что ювелирное изделие можно изготовить на раз"
131,ЗАПОНКА,ЮВЕЛИРНОЕ ИЗДЕЛИЕ,"И почему многие думают, что запонка можно изготовить на раз","И почему многие думают, что ювелирное изделие можно изготовить на раз"
132,БРОШЬ,ЮВЕЛИРНОЕ ИЗДЕЛИЕ,"И почему многие думают, что брошь можно изготовить на раз","И почему многие думают, что ювелирное изделие можно изготовить на раз"
133,МЕДАЛЬОН,ЮВЕЛИРНОЕ ИЗДЕЛИЕ,"И почему многие думают, что медальон можно изготовить на раз","И почему многие думают, что ювелирное изделие можно изготовить на раз"
134,КОРОНА МОНАРХА,ЮВЕЛИРНОЕ ИЗДЕЛИЕ,"И почему многие думают, что корона монарха можно изготовить на раз","И почему многие думают, что ювелирное изделие можно изготовить на раз"
135,ДРАГОЦЕННОСТЬ,ЮВЕЛИРНОЕ ИЗДЕЛИЕ,"И почему многие думают, что драгоценность можно изготовить на раз","И почему многие думают, что ювелирное изделие можно изготовить на раз"
136,ЮВЕЛИРНАЯ ФИЛИГРАНЬ,ЮВЕЛИРНОЕ ИЗДЕЛИЕ,"И почему многие думают, что ювелирная филигрань можно изготовить на раз","И почему многие думают, что ювелирное изделие можно изготовить на раз"
137,ЮВЕЛИРНЫЕ ПОДВЕСКИ,ЮВЕЛИРНОЕ ИЗДЕЛИЕ,"И почему многие думают, что ювелирные подвески можно изготовить на раз","И почему многие думают, что ювелирное изделие можно изготовить на раз"
138,КОРОНА (УКРАШЕНИЕ),ЮВЕЛИРНОЕ ИЗДЕЛИЕ,"И почему многие думают, что корона (украшение) можно изготовить на раз","И почему многие думают, что ювелирное изделие можно изготовить на раз"
140,РАСТЯНУТЬ ПО ВРЕМЕНИ,ЗАТЯНУТЬ ПО ВРЕМЕНИ," Стоит где-то растянуть по времени, сыграть неуверенно или"," Стоит где-то затянуть по времени, сыграть неуверенно или"
141,"КОПАТЬСЯ, КАНИТЕЛИТЬСЯ",ЗАТЯНУТЬ ПО ВРЕМЕНИ," Стоит где-то копаться, канителиться, сыграть неуверенно или"," Стоит где-то затянуть по времени, сыграть неуверенно или"
142,ВДАТЬСЯ В РАССУЖДЕНИЯ,ЗАТЯНУТЬ ПО ВРЕМЕНИ," Стоит где-то вдаться в рассуждения, сыграть неуверенно или"," Стоит где-то затянуть по времени, сыграть неуверенно или"
155,ПОЧЕТНОЕ ЗВАНИЕ,ЗВАНИЕ,сказать… Фильм не понапрасну носит почетное звание Классики Советского Кино. ,сказать… Фильм не понапрасну носит звание Классики Советского Кино. 
156,ВОИНСКОЕ ЗВАНИЕ,ЗВАНИЕ,сказать… Фильм не понапрасну носит воинское звание Классики Советского Кино. ,сказать… Фильм не понапрасну носит звание Классики Советского Кино. 
157,УЧЕНАЯ СТЕПЕНЬ,ЗВАНИЕ,сказать… Фильм не понапрасну носит ученая степень Классики Советского Кино. ,сказать… Фильм не понапрасну носит звание Классики Советского Кино. 
158,УЧЕНОЕ ЗВАНИЕ,ЗВАНИЕ,сказать… Фильм не понапрасну носит ученое звание Классики Советского Кино. ,сказать… Фильм не понапрасну носит звание Классики Советского Кино. 
159,КЛАССНЫЙ ЧИН,ЗВАНИЕ,сказать… Фильм не понапрасну носит классный чин Классики Советского Кино. ,сказать… Фильм не понапрасну носит звание Классики Советского Кино. 
160,СПОРТИВНОЕ ЗВАНИЕ,ЗВАНИЕ,сказать… Фильм не понапрасну носит спортивное звание Классики Советского Кино. ,сказать… Фильм не понапрасну носит звание Классики Советского Кино. 
161,ДУХОВНЫЙ САН,ЗВАНИЕ,сказать… Фильм не понапрасну носит духовный сан Классики Советского Кино. ,сказать… Фильм не понапрасну носит звание Классики Советского Кино. 
162,ДВОРЯНСКИЙ ТИТУЛ,ЗВАНИЕ,сказать… Фильм не понапрасну носит дворянский титул Классики Советского Кино. ,сказать… Фильм не понапрасну носит звание Классики Советского Кино. 
163,ЧЕМПИОНСТВО,ЗВАНИЕ,сказать… Фильм не понапрасну носит чемпионство Классики Советского Кино. ,сказать… Фильм не понапрасну носит звание Классики Советского Кино. 
164,ТИТУЛ ПОБЕДИТЕЛЯ,ЗВАНИЕ,сказать… Фильм не понапрасну носит титул победителя Классики Советского Кино. ,сказать… Фильм не понапрасну носит звание Классики Советского Кино. 
166,НЕСОВЕРШЕННАЯ КОНКУРЕНЦИЯ,КОНКУРЕНЦИЯ,"работу уборщика (мойщика), существует жёсткая несовершенная конкуренция со стороны, например, литовцев, эстонцев","работу уборщика (мойщика), существует жёсткая конкуренция со стороны, например, литовцев, эстонцев"
167,НЕЦЕНОВАЯ КОНКУРЕНЦИЯ,КОНКУРЕНЦИЯ,"работу уборщика (мойщика), существует жёсткая неценовая конкуренция со стороны, например, литовцев, эстонцев","работу уборщика (мойщика), существует жёсткая конкуренция со стороны, например, литовцев, эстонцев"
168,ГЕНЕРАТОР,ЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ,"будут производиться газовые турбины ― высокотехнологичное генератор, оправданно считающееся вершиной энергомашиностроительного","будут производиться газовые турбины ― высокотехнологичное энергетическое оборудование, оправданно считающееся вершиной энергомашиностроительного"
169,АТОМНОЕ ОБОРУДОВАНИЕ,ЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ,"будут производиться газовые турбины ― высокотехнологичное атомное оборудование, оправданно считающееся вершиной энергомашиностроительного","будут производиться газовые турбины ― высокотехнологичное энергетическое оборудование, оправданно считающееся вершиной энергомашиностроительного"
170,ЭНЕРГОСИЛОВАЯ УСТАНОВКА,ЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ,"будут производиться газовые турбины ― высокотехнологичное энергосиловая установка, оправданно считающееся вершиной энергомашиностроительного","будут производиться газовые турбины ― высокотехнологичное энергетическое оборудование, оправданно считающееся вершиной энергомашиностроительного"
171,СОЛНЕЧНАЯ ЭНЕРГЕТИЧЕСКАЯ УСТАНОВКА,ЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ,"будут производиться газовые турбины ― высокотехнологичное солнечная энергетическая установка, оправданно считающееся вершиной энергомашиностроительного","будут производиться газовые турбины ― высокотехнологичное энергетическое оборудование, оправданно считающееся вершиной энергомашиностроительного"
172,ТЕПЛОЭНЕРГЕТИЧЕСКАЯ УСТАНОВКА,ЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ,"будут производиться газовые турбины ― высокотехнологичное теплоэнергетическая установка, оправданно считающееся вершиной энергомашиностроительного","будут производиться газовые турбины ― высокотехнологичное энергетическое оборудование, оправданно считающееся вершиной энергомашиностроительного"
173,"ЧАД, УДУШЛИВЫЙ ДЫМ",ДЫМ,"Вашим следующим фильмом стал ""Священный чад, удушливый дым"".   ― Джейн Кэмпион многому меня научила","Вашим следующим фильмом стал ""Священный дым"".   ― Джейн Кэмпион многому меня научила"
180,МЕДИЦИНСКИЙ ДИАГНОЗ,МЕДИЦИНСКОЕ ЗАКЛЮЧЕНИЕ,"жизнь женщины была спасена, такое медицинский диагноз привело бы на скамью","жизнь женщины была спасена, такое медицинское заключение привело бы на скамью"
