child_id,parent_id
ДИРЕКТОР ОРГАНИЗАЦИИ,ГЛАВА ОРГАНИЗАЦИИ
ПРЕДСЕДАТЕЛЬ ОРГАНИЗАЦИИ,ГЛАВА ОРГАНИЗАЦИИ
"РАЗБРОСАТЬ, РАСШВЫРЯТЬ",БРОСИТЬ (ПЕРЕМЕСТИТЬ)
"МЕТАТЬ, БРОСАТЬ С РАЗМАХОМ",БРОСИТЬ (ПЕРЕМЕСТИТЬ)
СБРОСИТЬ ВНИЗ,БРОСИТЬ (ПЕРЕМЕСТИТЬ)
ПОДБРОСИТЬ ВВЕРХ,БРОСИТЬ (ПЕРЕМЕСТИТЬ)
ВБРОСИТЬ,БРОСИТЬ (ПЕРЕМЕСТИТЬ)
ОТБРОСИТЬ В СТОРОНУ,БРОСИТЬ (ПЕРЕМЕСТИТЬ)
"ПЕРЕБРОСИТЬ, БРОСИТЬ ЧЕРЕЗ",БРОСИТЬ (ПЕРЕМЕСТИТЬ)
ЗАБРОСИТЬ (БРОСИТЬ КУДА-ТО ИЛИ ДАЛЕКО),БРОСИТЬ (ПЕРЕМЕСТИТЬ)
ПОДБРОСИТЬ ДОПОЛНИТЕЛЬНО,БРОСИТЬ (ПЕРЕМЕСТИТЬ)
"БРОСАТЬСЯ, БРОСАТЬ ДРУГ В ДРУГА",БРОСИТЬ (ПЕРЕМЕСТИТЬ)
"ПОСЛАТЬ (БРОСИТЬ, НАПРАВИТЬ)",БРОСИТЬ (ПЕРЕМЕСТИТЬ)
"БАХНУТЬ, ШАРАХНУТЬ",БРОСИТЬ (ПЕРЕМЕСТИТЬ)
ПЕРЕБРОСИТЬ (ПРОМАХНУТЬСЯ),БРОСИТЬ (ПЕРЕМЕСТИТЬ)
"ПЕРЕДАЧА МЯЧА, ШАЙБЫ",БРОСИТЬ (ПЕРЕМЕСТИТЬ)
"БРОСОК МЯЧА, ШАЙБЫ",БРОСИТЬ (ПЕРЕМЕСТИТЬ)
БОРЦОВСКИЙ БРОСОК,БРОСИТЬ (ПЕРЕМЕСТИТЬ)
ГИПЕРИНФЛЯЦИЯ,ИНФЛЯЦИЯ
"ЗАБЕЖАТЬ, ЗАСКОЧИТЬ (ЗАЙТИ НЕНАДОЛГО)",ЗАЙТИ ПО ПУТИ
"НЕПРИХОТЛИВЫЙ, НЕПРИТЯЗАТЕЛЬНЫЙ",УМЕРЕННЫЙ (СРЕДНИЙ)
ПОЧЕЧНАЯ НЕДОСТАТОЧНОСТЬ,ФУНКЦИОНАЛЬНАЯ НЕДОСТАТОЧНОСТЬ ОРГАНА
СЕРДЕЧНАЯ НЕДОСТАТОЧНОСТЬ,ФУНКЦИОНАЛЬНАЯ НЕДОСТАТОЧНОСТЬ ОРГАНА
ПЛАВКА МЕТАЛЛОВ,ВАРКА (ТЕХНОЛОГИЧЕСКИЙ ПРОЦЕСС)
ОПРОС ОБЩЕСТВЕННОГО МНЕНИЯ,"ОПРОС, ОПРАШИВАНИЕ"
АНКЕТИРОВАНИЕ,"ОПРОС, ОПРАШИВАНИЕ"
РАССАДИТЬ ПО МЕСТАМ,"САЖАТЬ, УСАЖИВАТЬ"
"ПЕРЕСАДИТЬ, ПОСАДИТЬ НА ДРУГОЕ МЕСТО","САЖАТЬ, УСАЖИВАТЬ"
"СОРТИРОВАТЬ, ОТСОРТИРОВАТЬ",РАЗОБРАТЬ (НАВЕСТИ ПОРЯДОК)
РАЗГРЕСТИ (НАВЕСТИ ПОРЯДОК),РАЗОБРАТЬ (НАВЕСТИ ПОРЯДОК)
ИНДИГО (КРАСИТЕЛЬ),"КРАСИТЕЛЬ, КРАСЯЩИЙ АГЕНТ"
ОХРА,"КРАСИТЕЛЬ, КРАСЯЩИЙ АГЕНТ"
КАРМИН (КРАСКА),"КРАСИТЕЛЬ, КРАСЯЩИЙ АГЕНТ"
МЕДИЦИНСКИЙ ИНСТИТУТ,МЕДИЦИНСКОЕ УЧЕБНОЕ ЗАВЕДЕНИЕ
МЕДИЦИНСКОЕ УЧИЛИЩЕ,МЕДИЦИНСКОЕ УЧЕБНОЕ ЗАВЕДЕНИЕ
НЕОБУЗДАННЫЙ,"БЕЗУДЕРЖНЫЙ, НЕУДЕРЖИМЫЙ"
"СОСКОБЛИТЬ, ОТСКОБЛИТЬ",ОЧИСТИТЬ ВЕРХНИЙ СЛОЙ
ОНКОГЕМОТАЛОГИЯ,ОНКОЛОГИЯ
НЕДОСТАЧА,ФИНАНСОВОЕ НАРУШЕНИЕ
ФИНАНСОВОЕ ПРЕСТУПЛЕНИЕ,ФИНАНСОВОЕ НАРУШЕНИЕ
"АВТОМОБИЛЬ ""ГАЗЕЛЬ""",АВТОМОБИЛЬ ГАЗ
АРМИРОВАТЬ (УВЕЛИЧИТЬ ПРОЧНОСТЬ ВВЕДЕНИЕМ АРМАТУРЫ),"УПРОЧНИТЬ (СДЕЛАТЬ ПРОЧНЕЕ, КРЕПЧЕ)"
БИОИНЖЕНЕРИЯ,БИОТЕХНОЛОГИЯ
МУЗЫКАЛЬНОЕ ПРОИЗВЕДЕНИЕ,"СОЧИНЕНИЕ (ТО, ЧТО СОЧИНЕНО)"
ЛИТЕРАТУРНОЕ ПРОИЗВЕДЕНИЕ,"СОЧИНЕНИЕ (ТО, ЧТО СОЧИНЕНО)"
СТАТЬЯ (ТЕКСТ),"СОЧИНЕНИЕ (ТО, ЧТО СОЧИНЕНО)"
ПАРОДИЯ (КОМИЧЕСКОЕ ИЛИ САТИРИЧЕСКОЕ ПОДРАЖАНИЕ),"СОЧИНЕНИЕ (ТО, ЧТО СОЧИНЕНО)"
УСМИРИТЬ (СДЕЛАТЬ СМИРНЫМ),"УСПОКОИТЬ, УТИХОМИРИТЬ"
"УКРОТИТЬ, ОБУЗДАТЬ","УСПОКОИТЬ, УТИХОМИРИТЬ"
ГОРОДСКАЯ ЗЕМЛЯ,ГОРОДСКАЯ СОБСТВЕННОСТЬ
РАВВИН,СЛУЖИТЕЛЬ КУЛЬТА
ХРИСТИАНСКИЙ СВЯЩЕННОСЛУЖИТЕЛЬ,СЛУЖИТЕЛЬ КУЛЬТА
МОНАХ,СЛУЖИТЕЛЬ КУЛЬТА
МУСУЛЬМАНСКИЙ СВЯЩЕННОСЛУЖИТЕЛЬ,СЛУЖИТЕЛЬ КУЛЬТА
ЦЕРКОВНОСЛУЖИТЕЛЬ,СЛУЖИТЕЛЬ КУЛЬТА
РЕЛИГИОЗНЫЙ ПРОПОВЕДНИК,СЛУЖИТЕЛЬ КУЛЬТА
ЖРЕЦ,СЛУЖИТЕЛЬ КУЛЬТА
ШАМАН (СЛУЖИТЕЛЬ КУЛЬТА),СЛУЖИТЕЛЬ КУЛЬТА
"ВИКАРИЙ, ПОМОЩНИК ЕПИСКОПА",СЛУЖИТЕЛЬ КУЛЬТА
ЦЕРКОВНЫЙ ИЕРАРХ,СЛУЖИТЕЛЬ КУЛЬТА
КАПЕЛЛАН,СЛУЖИТЕЛЬ КУЛЬТА
МОНАХИНЯ,СЛУЖИТЕЛЬ КУЛЬТА
МАГИСТР ОРДЕНА,СЛУЖИТЕЛЬ КУЛЬТА
ЧУДОДЕЙСТВЕННЫЙ,ЭФФЕКТИВНЫЙ
ТЕХНОЛОГИЧНЫЙ,ЭФФЕКТИВНЫЙ
ЭЛЕКТРОГИТАРА,ЭЛЕКТРОМУЗЫКАЛЬНЫЙ ИНСТРУМЕНТ
СИНТЕЗАТОР,ЭЛЕКТРОМУЗЫКАЛЬНЫЙ ИНСТРУМЕНТ
АРКА (СООРУЖЕНИЕ),ВОРОТА (ВХОД)
ОПРОВЕРГНУТЬ,"ДОКАЗАТЬ, ПРЕДСТАВИТЬ ДОКАЗАТЕЛЬСТВО"
ИЗОБЛИЧИТЬ (ДОКАЗАТЬ ВИНОВНОСТЬ),"ДОКАЗАТЬ, ПРЕДСТАВИТЬ ДОКАЗАТЕЛЬСТВО"
"ОПРАВДАТЬСЯ (ДОКАЗАТЬ ПРАВОТУ, НЕВИНОВНОСТЬ)","ДОКАЗАТЬ, ПРЕДСТАВИТЬ ДОКАЗАТЕЛЬСТВО"
ВЫРУБКА ДЕРЕВЬЕВ,СВЕСТИ (ОЧИСТИТЬ)
ПАРЛАМЕНТСКИЕ ЧТЕНИЯ,ПАРЛАМЕНТСКИЕ СЛУШАНИЯ
ЗАТУХНУТЬ (ПОСТЕПЕННО ГАСНУТЬ),ГАСНУТЬ (ПЕРЕСТАВАТЬ ГОРЕТЬ)
МЕЛКООПТОВАЯ ТОРГОВЛЯ,ОПТОВАЯ ТОРГОВЛЯ
КРУПНООПТОВАЯ ТОРГОВЛЯ,ОПТОВАЯ ТОРГОВЛЯ
ЧЕЧЕНЦЫ,ВАЙНАХИ
ИНГУШИ,ВАЙНАХИ
ГИДРОТЕХНИЧЕСКОЕ СТРОИТЕЛЬСТВО,ПРОМЫШЛЕННОЕ СТРОИТЕЛЬСТВО
СЕРЬГА,ЮВЕЛИРНОЕ ИЗДЕЛИЕ
КОЛЬЕ,ЮВЕЛИРНОЕ ИЗДЕЛИЕ
КОЛЬЦО (УКРАШЕНИЕ),ЮВЕЛИРНОЕ ИЗДЕЛИЕ
ОЖЕРЕЛЬЕ (УКРАШЕНИЕ),ЮВЕЛИРНОЕ ИЗДЕЛИЕ
КУЛОН (УКРАШЕНИЕ),ЮВЕЛИРНОЕ ИЗДЕЛИЕ
БРАСЛЕТ (УКРАШЕНИЕ),ЮВЕЛИРНОЕ ИЗДЕЛИЕ
ЗАПОНКА,ЮВЕЛИРНОЕ ИЗДЕЛИЕ
БРОШЬ,ЮВЕЛИРНОЕ ИЗДЕЛИЕ
МЕДАЛЬОН,ЮВЕЛИРНОЕ ИЗДЕЛИЕ
КОРОНА МОНАРХА,ЮВЕЛИРНОЕ ИЗДЕЛИЕ
ДРАГОЦЕННОСТЬ,ЮВЕЛИРНОЕ ИЗДЕЛИЕ
ЮВЕЛИРНАЯ ФИЛИГРАНЬ,ЮВЕЛИРНОЕ ИЗДЕЛИЕ
ЮВЕЛИРНЫЕ ПОДВЕСКИ,ЮВЕЛИРНОЕ ИЗДЕЛИЕ
КОРОНА (УКРАШЕНИЕ),ЮВЕЛИРНОЕ ИЗДЕЛИЕ
ОТБЕЛИТЬ (ОСВЕТЛИТЬ),ОСВЕТЛИТЬ (СДЕЛАТЬ СВЕТЛЫМ)
РАСТЯНУТЬ ПО ВРЕМЕНИ,ЗАТЯНУТЬ ПО ВРЕМЕНИ
"КОПАТЬСЯ, КАНИТЕЛИТЬСЯ",ЗАТЯНУТЬ ПО ВРЕМЕНИ
ВДАТЬСЯ В РАССУЖДЕНИЯ,ЗАТЯНУТЬ ПО ВРЕМЕНИ
ПОЛЕГАНИЕ РАСТЕНИЙ,"НАКЛОНИТЬСЯ, СКЛОНИТЬСЯ"
"КЛАНЯТЬСЯ, ДЕЛАТЬ ПОКЛОН","НАКЛОНИТЬСЯ, СКЛОНИТЬСЯ"
ВИРАЖ (ПОВОРОТ С КРЕНОМ),"НАКЛОНИТЬСЯ, СКЛОНИТЬСЯ"
ПРОСЕКА,"ВЫРУБКА, МЕСТО ВЫРУБКИ"
ЛЕСОСЕКА,"ВЫРУБКА, МЕСТО ВЫРУБКИ"
ПРЫСКАТЬ (БРЫЗГАТЬ),"БРЫЗГАТЬ, РАЗБРАСЫВАТЬ БРЫЗГИ"
"РАЗБРЫЗГАТЬ, РАСПРЫСКАТЬ","БРЫЗГАТЬ, РАЗБРАСЫВАТЬ БРЫЗГИ"
КРОВОТЕЧЕНИЕ,"ВЫЛИТЬСЯ, ВЫТЕЧЬ"
ПРОЛИТЬСЯ,"ВЫЛИТЬСЯ, ВЫТЕЧЬ"
"УТЕЧКА ЖИДКОСТИ, ГАЗА","ВЫЛИТЬСЯ, ВЫТЕЧЬ"
ФОНТАНИРОВАНИЕ,"ВЫЛИТЬСЯ, ВЫТЕЧЬ"
ПЕРЕЛИТЬСЯ ЧЕРЕЗ КРАЙ,"ВЫЛИТЬСЯ, ВЫТЕЧЬ"
ПОЧЕТНОЕ ЗВАНИЕ,ЗВАНИЕ
ВОИНСКОЕ ЗВАНИЕ,ЗВАНИЕ
УЧЕНАЯ СТЕПЕНЬ,ЗВАНИЕ
УЧЕНОЕ ЗВАНИЕ,ЗВАНИЕ
КЛАССНЫЙ ЧИН,ЗВАНИЕ
СПОРТИВНОЕ ЗВАНИЕ,ЗВАНИЕ
ДУХОВНЫЙ САН,ЗВАНИЕ
ДВОРЯНСКИЙ ТИТУЛ,ЗВАНИЕ
ЧЕМПИОНСТВО,ЗВАНИЕ
ТИТУЛ ПОБЕДИТЕЛЯ,ЗВАНИЕ
СОПРОВОЖДАТЬ (ДОПОЛНИТЬ),ПРИЛОЖИТЬ (ДОБАВИТЬ)
НЕСОВЕРШЕННАЯ КОНКУРЕНЦИЯ,КОНКУРЕНЦИЯ
НЕЦЕНОВАЯ КОНКУРЕНЦИЯ,КОНКУРЕНЦИЯ
ГЕНЕРАТОР,ЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ
АТОМНОЕ ОБОРУДОВАНИЕ,ЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ
ЭНЕРГОСИЛОВАЯ УСТАНОВКА,ЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ
СОЛНЕЧНАЯ ЭНЕРГЕТИЧЕСКАЯ УСТАНОВКА,ЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ
ТЕПЛОЭНЕРГЕТИЧЕСКАЯ УСТАНОВКА,ЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ
"ЧАД, УДУШЛИВЫЙ ДЫМ",ДЫМ
РАСПРОСТРАНЕНИЕ ЯДЕРНОГО ОРУЖИЯ,"РАСПРОСТРАНИТЬ (СДЕЛАТЬ ДОСТУПНЫМ, ИЗВЕСТНЫМ)"
РАСПРОСТРАНЕНИЕ ИНФОРМАЦИИ,"РАСПРОСТРАНИТЬ (СДЕЛАТЬ ДОСТУПНЫМ, ИЗВЕСТНЫМ)"
РАЗНЕСТИ (РАСПРОСТРАНИТЬ),"РАСПРОСТРАНИТЬ (СДЕЛАТЬ ДОСТУПНЫМ, ИЗВЕСТНЫМ)"
НАСИЛЬСТВЕННОЕ НАСАЖДЕНИЕ,"РАСПРОСТРАНИТЬ (СДЕЛАТЬ ДОСТУПНЫМ, ИЗВЕСТНЫМ)"
"ЗАМКНУТЫЙ, НЕОБЩИТЕЛЬНЫЙ",ТРУДНЫЙ ПО ХАРАКТЕРУ
"РАЗМЕРЕННЫЙ (РИТМИЧНЫЙ, НЕТОРОПЛИВЫЙ)","НЕТОРОПЛИВЫЙ, НЕСПЕШНЫЙ"
МЕДИЦИНСКИЙ ДИАГНОЗ,МЕДИЦИНСКОЕ ЗАКЛЮЧЕНИЕ
ПРОСЛАВЛЕННЫЙ,ЗНАМЕНИТЫЙ
ЛЕГЕНДАРНЫЙ (ШИРОКОИЗВЕСТНЫЙ),ЗНАМЕНИТЫЙ
ТЕЛЕРАДИОКОМПАНИЯ,КОМПАНИЯ
ИНОСТРАННАЯ КОМПАНИЯ,КОМПАНИЯ
КОМПАНИЯ-МОНОПОЛИСТ,КОМПАНИЯ
ТЕЛЕКОММУНИКАЦИОННАЯ КОМПАНИЯ,КОМПАНИЯ
АВИАСТРОИТЕЛЬНАЯ КОМПАНИЯ,КОМПАНИЯ
ПИВОВАРЕННАЯ КОМПАНИЯ,КОМПАНИЯ
СТАРТАП-КОМПАНИЯ,КОМПАНИЯ
ФИКТИВНАЯ ФИРМА,КОМПАНИЯ
АФФИЛИРОВАННАЯ КОМПАНИЯ,КОМПАНИЯ
АВТОМОБИЛЬНАЯ КОМПАНИЯ,КОМПАНИЯ
ОПЕРАТОР УСЛУГ,КОМПАНИЯ
НЕРВИРОВАТЬ,ВОЗБУДИТЬ (ПРИВЕСТИ В ВОЗБУЖДЕННОЕ СОСТОЯНИЕ)
ВООДУШЕВИТЬ,ВОЗБУДИТЬ (ПРИВЕСТИ В ВОЗБУЖДЕННОЕ СОСТОЯНИЕ)
АВТОРУЧКА,РУЧКА ДЛЯ ПИСЬМА
ПРОЛОМАТЬ ОТВЕРСТИЕ,ПРОБИВАНИЕ ОТВЕРСТИЯ
ПРОРУБИТЬ ОТВЕРСТИЕ,ПРОБИВАНИЕ ОТВЕРСТИЯ
ПЕРФОРИРОВАТЬ,ПРОБИВАНИЕ ОТВЕРСТИЯ
ПРОСТРЕЛИТЬ ОТВЕРСТИЕ,ПРОБИВАНИЕ ОТВЕРСТИЯ
ТАРАНИТЬ (НАНОСИТЬ УДАР),ПРОБИВАНИЕ ОТВЕРСТИЯ
МОСКВА,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ
САНКТ-ПЕТЕРБУРГ,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ
СЕВАСТОПОЛЬ,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ
ПИРУЭТ,"КРУЖИТЬСЯ, СОВЕРШАТЬ КРУГОВЫЕ ДВИЖЕНИЯ"
ЗАВИСАНИЕ В ВОЗДУХЕ,"КРУЖИТЬСЯ, СОВЕРШАТЬ КРУГОВЫЕ ДВИЖЕНИЯ"
ЗАВИХРИТЬСЯ,"КРУЖИТЬСЯ, СОВЕРШАТЬ КРУГОВЫЕ ДВИЖЕНИЯ"
ЭКОЛОГИЧЕСКОЕ ПРЕСТУПЛЕНИЕ,ЭКОЛОГИЧЕСКОЕ ПРАВОНАРУШЕНИЕ
ВНЕШНЯЯ ТОРГОВЛЯ,ВНЕШНЕЭКОНОМИЧЕСКИЕ ОТНОШЕНИЯ
ЭКОНОМИЧЕСКИЕ САНКЦИИ,ВНЕШНЕЭКОНОМИЧЕСКИЕ ОТНОШЕНИЯ
МЕЖДУНАРОДНОЕ ЭКОНОМИЧЕСКОЕ СОТРУДНИЧЕСТВО,ВНЕШНЕЭКОНОМИЧЕСКИЕ ОТНОШЕНИЯ
КОММУНАЛЬНОЕ СТРОИТЕЛЬСТВО,ПРОМЫШЛЕННО-ТРАНСПОРТНОЕ СТРОИТЕЛЬСТВО
ПРОМЫШЛЕННОЕ СТРОИТЕЛЬСТВО,ПРОМЫШЛЕННО-ТРАНСПОРТНОЕ СТРОИТЕЛЬСТВО
ТРАНСПОРТНОЕ СТРОИТЕЛЬСТВО,ПРОМЫШЛЕННО-ТРАНСПОРТНОЕ СТРОИТЕЛЬСТВО
ДИАПОЗИТИВ,ПОЗИТИВ (ФОТОГРАФИЧЕСКОЕ ИЗОБРАЖЕНИЕ)
ЗАЧЕТ ПО УЧЕБНОМУ ПРЕДМЕТУ,СТАВИТЬ ОЦЕНКУ
АТТЕСТАЦИЯ УЧАЩЕГОСЯ,СТАВИТЬ ОЦЕНКУ
ШАШЕЧКА (УЗОР),КЛЕТКА (УЗОР)
ПРИСЯЖНЫЙ ЗАСЕДАТЕЛЬ,ЗАСЕДАТЕЛЬ
ДОРОГОЙ ПО ЦЕНЕ,ЧРЕЗМЕРНЫЙ
"РОСЛЫЙ, ВЫСОКОГО РОСТА",ЧРЕЗМЕРНЫЙ
"КАЧЕСТВЕННЫЙ, ВЫСОКОГО КАЧЕСТВА",ЧРЕЗМЕРНЫЙ
ЗАВЫШЕННЫЙ,ЧРЕЗМЕРНЫЙ
СВЕРХПЛАНОВЫЙ,ЧРЕЗМЕРНЫЙ
БОЛЕЗНЕННЫЙ (ЧРЕЗМЕРНЫЙ),ЧРЕЗМЕРНЫЙ
РАСТЯНУТЫЙ (ЧРЕЗМЕРНО ДЛИННЫЙ),ЧРЕЗМЕРНЫЙ
"ЗАХВАТИТЬ, ЗАВЛАДЕТЬ","ОТНЯТЬ, ЛИШИТЬ"
"ОБЕЗОРУЖИТЬ, ОТНЯТЬ ОРУЖИЕ","ОТНЯТЬ, ЛИШИТЬ"
"РАЗВЕНЧАТЬ (ЛИШИТЬ УВАЖЕНИЯ,  ПРИЗНАНИЯ)","ОТНЯТЬ, ЛИШИТЬ"
ОБЕЗВОДИТЬ (ЛИШИТЬ ЖИДКОСТИ),"ОТНЯТЬ, ЛИШИТЬ"
ЛИШИТЬ РУКОВОДСТВА,"ОТНЯТЬ, ЛИШИТЬ"
ЛИШЕНИЕ ПРАВА,"ОТНЯТЬ, ЛИШИТЬ"
ЛИШЕНИЕ ИМУЩЕСТВА,"ОТНЯТЬ, ЛИШИТЬ"
ДИПЛОМАТИЧЕСКОЕ ПРЕДСТАВИТЕЛЬСТВО,ЗАРУБЕЖНОЕ ПРЕДСТАВИТЕЛЬСТВО
ТОРГОВОЕ ПРЕДСТАВИТЕЛЬСТВО,ЗАРУБЕЖНОЕ ПРЕДСТАВИТЕЛЬСТВО
РЕСУРСОСБЕРЕЖЕНИЕ,"ЭКОНОМИЯ, ЭКОНОМНОЕ РАСХОДОВАНИЕ"
ЭКОНОМИЯ СРЕДСТВ,"ЭКОНОМИЯ, ЭКОНОМНОЕ РАСХОДОВАНИЕ"
ОВОД,МУХА
ЦЕЦЕ,МУХА
"СПАСИТЕЛЬ, СПАСИТЕЛЬНИЦА",ИЗБАВИТЕЛЬ
ГУСЕНИЧНАЯ ЛЕНТА,ПОЛОТНО (УСТРОЙСТВО)
"ОТЕЧНЫЙ, ОТЕКШИЙ",ОПУХЛЫЙ
"ВОСПАЛЕННЫЙ, ВОСПАЛИВШИЙСЯ",ОПУХЛЫЙ
"ЖАТВА, УБОРКА ЗЕРНОВЫХ",УБОРОЧНЫЕ РАБОТЫ
ЖАТЬ ЗЕРНОВЫЕ,УБОРОЧНЫЕ РАБОТЫ
КОММЕРЧЕСКИЙ ПОДКУП,ПРЕСТУПЛЕНИЕ ПРОТИВ ИНТЕРЕСОВ СЛУЖБЫ
НЫРЯНИЕ В ВОДУ,ПОГРУЗИТЬСЯ В ЖИДКОСТЬ
"ТОНУТЬ, ИДТИ КО ДНУ",ПОГРУЗИТЬСЯ В ЖИДКОСТЬ
КУПАТЬСЯ,ПОГРУЗИТЬСЯ В ЖИДКОСТЬ
ПЛАВАНИЕ С АКВАЛАНГОМ,ПОГРУЗИТЬСЯ В ЖИДКОСТЬ
ТОНУТЬ В ВЯЗКОМ,ПОГРУЗИТЬСЯ В ЖИДКОСТЬ
ЭСТАКАДА,ПУТЕПРОВОД
ВИАДУК,ПУТЕПРОВОД
ЦВЕТАСТЫЙ,ЯРКИЙ ПО ЦВЕТУ
СОЧНЫЙ ПО ЦВЕТУ,ЯРКИЙ ПО ЦВЕТУ
РЕЗКИЙ ПО ЦВЕТУ,ЯРКИЙ ПО ЦВЕТУ
ВОЛЬНАЯ БОРЬБА,СПОРТИВНАЯ БОРЬБА
ГРЕКО-РИМСКАЯ БОРЬБА,СПОРТИВНАЯ БОРЬБА
БОРЬБА СУМО,СПОРТИВНАЯ БОРЬБА
ВОСТОЧНЫЕ ЕДИНОБОРСТВА,СПОРТИВНАЯ БОРЬБА
МИКРОПРОЦЕССОР,МИКРОСХЕМА
ЯДРО ПРОЦЕССОРА,МИКРОСХЕМА
